group,run_id,A,P,rho_U,case,source,target,true_lag,estimated_best_lag,correct_lag,ground_truth_alpha,estimated_alpha_true_lag,estimated_alpha_best_lag,correct_sign
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,U,X,1,1,True,0.800000011920929,0.7960745096206665,0.7960745096206665,True
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,X,X,1,1,True,0.6000000238418579,0.6043310165405273,0.6043310165405273,True
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,U,Y,2,2,True,0.800000011920929,0.8144108653068542,0.8144108653068542,True
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,Y,Y,1,1,True,0.5,0.5010360479354858,0.5010360479354858,True
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,X,Z,1,1,True,0.699999988079071,0.745310366153717,0.745310366153717,True
control_A0,A_0p0_rho_0p0,0.0,50,0.0,observed_U,Z,Z,1,1,True,0.4000000059604645,0.4153834879398346,0.4153834879398346,True
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U,X,X,1,1,True,0.6000000238418579,0.6508403420448303,0.6508403420448303,True
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U,Y,Y,1,1,True,0.5,0.500992476940155,0.500992476940155,True
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U,X,Z,1,1,True,0.699999988079071,0.7592767477035522,0.7592767477035522,True
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U,Z,Z,1,1,True,0.4000000059604645,0.42024287581443787,0.42024287581443787,True
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U_without_seasonal,X,X,1,1,True,0.6000000238418579,0.5662537813186646,0.5662537813186646,True
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U_without_seasonal,Y,Y,1,1,True,0.5,0.5182405710220337,0.5182405710220337,True
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U_without_seasonal,X,Z,1,1,True,0.699999988079071,0.6422587037086487,0.6422587037086487,True
control_A0,A_0p0_rho_0p0,0.0,50,0.0,hidden_U_without_seasonal,Z,Z,1,1,True,0.4000000059604645,0.4499220848083496,0.4499220848083496,True
control_A0,A_0p0_rho_0p3,0.0,50,0.3,observed_U,U,U,1,1,True,0.30000001192092896,0.28647568821907043,0.28647568821907043,True
