B_min,B_max,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,case,mean_MSE,std_MSE,mean_RMSE,std_RMSE,mean_MAE,std_MAE,mean_alpha_correlation,mean_lag_accuracy,mean_sign_accuracy,false_positives,missed_true_links,logistic_accuracy,tree_accuracy
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0.0206997454509568,0.00013336555377465033,0.14387339178698094,0.00046258532748412066,0.10534096131187505,0.0004024308151689461,0.9417041832188416,1.0,1.0,7,0,0.8199329983249581,0.8199329983249581
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0.019464781041978595,7.832274749507791e-06,0.1395162368082925,2.8064034838131875e-05,0.10177526036624765,2.3724709990698163e-05,0.8885536407173142,0.875,1.0,2,0,0.49413735343383586,0.5209380234505863
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0.020293069943244823,6.903117911538053e-06,0.14245374482618012,2.422676167198847e-05,0.10355408716727706,2.342266699064235e-05,0.8382220871429233,0.75,0.875,0,2,0.49413735343383586,0.5134003350083752
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0.5300726635047284,0.0005633338575338681,0.728060800196601,0.00038689908702576665,0.4432899074150116,0.00107379516801479,0.9616694725400983,1.0,1.0,14,0,0.9748743718592965,0.97571189279732
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0.5274814005787293,0.0013048164184174416,0.7262786480613135,0.0008981146673245055,0.4426776708067582,0.002349776853479071,0.9792647169085873,1.0,1.0,6,0,0.9623115577889447,0.9614740368509213
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0.5327260389674142,0.0020486226725575,0.7298796254346092,0.0014029108029558921,0.4550296714062685,0.0029976455213035985,0.7265346140452994,1.0,1.0,6,2,0.7286432160804021,0.7763819095477387
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0.01995719542078795,0.0001215918686093541,0.14126935122500878,0.0004292438481592739,0.10395161926224175,0.00041144175516743685,0.943757909287387,1.0,1.0,8,0,0.8199329983249581,0.8249581239530989
50,150,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0.01888677568796169,1.0676537582125041e-05,0.13742916113553172,3.883792169688982e-05,0.10077939699920306,4.098132658512266e-05,0.8842071530770563,0.875,1.0,8,0,0.5896147403685092,0.45896147403685095
50,150,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0.019789899005432227,7.233577613317987e-06,0.1406765737802378,2.5709607779718725e-05,0.10314510604019307,2.1447670118941026e-05,0.8350567051817868,0.75,0.875,4,2,0.5896147403685092,0.583752093802345
50,150,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0.5156563380065937,0.0004324021061492958,0.718092094667971,0.0003010757737016997,0.43422055399238835,0.0008216361412000622,0.9747043434892293,1.0,1.0,10,0,0.9882747068676717,0.9849246231155779
50,150,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0.5159152508602572,0.0019687517535020866,0.7182712338033854,0.0013685153430149561,0.43433008535335,0.004344557008811815,0.9878233294512052,1.0,1.0,1,0,0.9765494137353434,0.9731993299832495
50,150,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0.5200460399838354,0.0026531246895415066,0.7211400627029623,0.0018408779919163658,0.45037899526845526,0.00372990475533829,0.6973221835491437,0.875,1.0,2,2,0.7621440536013401,0.8517587939698492
100,300,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0.020535255900778822,0.000108950073043222,0.1433008253400696,0.00037911832465362523,0.1045504977114881,0.0003787399846362051,0.9595356041787286,1.0,1.0,11,0,0.8417085427135679,0.8458961474036851
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0.019568007017144277,4.547207763347821e-06,0.139885691832285,1.6253111409566165e-05,0.10185459384725001,1.0614934226097307e-05,0.8870139169411551,0.875,1.0,4,0,0.46817420435510887,0.4765494137353434
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0.020466254489433407,6.057836952889221e-06,0.14306031625170196,2.1171165511347142e-05,0.10385574719018871,1.7686071323100752e-05,0.8395939304198508,0.75,0.875,0,2,0.46817420435510887,0.4849246231155779
100,300,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0.5167909285198612,0.0008323577494691215,0.7188815111356328,0.0005787603710227124,0.4321890329516426,0.0011853686974530563,0.9826388607416723,1.0,1.0,8,0,0.9916247906197655,0.9899497487437185
100,300,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0.5158137733064992,0.001850735952168253,0.7182007267879797,0.001286402268541814,0.43156445635573587,0.0044002259030172545,0.9822758829776164,1.0,1.0,0,0,0.9807370184254607,0.974036850921273
100,300,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0.5210897675757116,0.0015102629125404465,0.7218647949655634,0.0010463508209664415,0.44658807183237037,0.001266159889211949,0.6864614630817825,0.875,0.875,2,2,0.6373534338358459,0.7085427135678392
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0.020025533874179977,0.00038485700392493975,0.14150584066822636,0.0013461595408625307,0.10335976768028603,0.0012533117691385656,0.9357187937092164,1.0,1.0,11,0,0.8835845896147404,0.9279731993299832
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0.018960948880151082,7.668557167549087e-06,0.1376987588265113,2.784459574537943e-05,0.10043089898958224,2.0870518362860223e-05,0.8883714945372939,0.875,1.0,2,0,1.0,0.9321608040201005
50,2000,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0.01984505406920058,2.4475985898011926e-05,0.14087245041610724,8.681373409372774e-05,0.10242208718992443,6.062553895865757e-05,0.8371279126374662,0.75,0.875,2,2,1.0,0.9338358458961474
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0.5087063730412041,0.00119028162434596,0.7132361084807047,0.0008343996543144705,0.4270170265771869,0.0011598985164666968,0.9886502640652561,1.0,1.0,8,0,1.0,1.0
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0.5097703459608988,0.0004946267796458834,0.713981959123794,0.00034642082237223954,0.42972361009619264,0.001575301937441344,0.9917089745301453,1.0,1.0,5,0,1.0,0.998324958123953
50,2000,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0.5163223906377976,0.0016814820428604378,0.7185549094077592,0.0011703768645112615,0.4444895424592182,0.0031213587612863246,0.7181425433965223,0.75,1.0,2,2,1.0,0.983249581239531
