B_min,B_max,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,case,model,accuracy,macro_f1,weighted_f1,train_windows,test_windows,train_R0,train_R1,test_R0,test_R1,gap_windows,tn,fp,fn,tp
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,majority_baseline,0.49413735343383586,0.3307174887892377,0.32683972928919636,2791,1194,1453,1338,590,604,10,590,0,604,0
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,logistic,0.8199329983249581,0.8199177139489939,0.8198982611068576,2791,1194,1453,1338,590,604,10,495,95,120,484
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,tree,0.8199329983249581,0.8196535544148031,0.8197367930263386,2791,1194,1453,1338,590,604,10,466,124,91,513
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,majority_baseline,0.49413735343383586,0.3307174887892377,0.32683972928919636,2791,1194,1453,1338,590,604,10,590,0,604,0
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,logistic,0.49413735343383586,0.3307174887892377,0.32683972928919636,2791,1194,1453,1338,590,604,10,590,0,604,0
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,tree,0.5209380234505863,0.4480085348506401,0.4456559707022547,2791,1194,1453,1338,590,604,10,528,62,510,94
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,majority_baseline,0.49413735343383586,0.3307174887892377,0.32683972928919636,2791,1194,1453,1338,590,604,10,590,0,604,0
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,logistic,0.49413735343383586,0.3307174887892377,0.32683972928919636,2791,1194,1453,1338,590,604,10,590,0,604,0
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,tree,0.5134003350083752,0.3956705551930601,0.39254300886020543,2791,1194,1453,1338,590,604,10,570,20,561,43
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,majority_baseline,0.49413735343383586,0.3307174887892377,0.32683972928919636,2791,1194,1453,1338,590,604,10,590,0,604,0
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,logistic,0.9748743718592965,0.9748698592655993,0.9748738077850844,2791,1194,1453,1338,590,604,10,574,16,14,590
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,tree,0.97571189279732,0.9757098311838177,0.9757124550555478,2791,1194,1453,1338,590,604,10,577,13,16,588
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,majority_baseline,0.49413735343383586,0.3307174887892377,0.32683972928919636,2791,1194,1453,1338,590,604,10,590,0,604,0
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,logistic,0.9623115577889447,0.9623020118924418,0.9623090457109175,2791,1194,1453,1338,590,604,10,565,25,20,584
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,tree,0.9614740368509213,0.9614463446889399,0.9614584600098067,2791,1194,1453,1338,590,604,10,558,32,14,590
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,majority_baseline,0.49413735343383586,0.3307174887892377,0.32683972928919636,2791,1194,1453,1338,590,604,10,590,0,604,0
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,logistic,0.7286432160804021,0.7264047661481274,0.7261145967124621,2791,1194,1453,1338,590,604,10,489,101,223,381
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,tree,0.7763819095477387,0.7760915080696762,0.7761860573881151,2791,1194,1453,1338,590,604,10,442,148,119,485
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,majority_baseline,0.5896147403685092,0.37091675447839834,0.43739597178022177,2791,1194,1449,1342,704,490,10,704,0,490,0
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,logistic,0.8199329983249581,0.8120182101638022,0.8189315353331384,2791,1194,1449,1342,704,490,10,612,92,123,367
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,tree,0.8249581239530989,0.8145393657746627,0.8224178613583565,2791,1194,1449,1342,704,490,10,634,70,139,351
50,150,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,majority_baseline,0.5896147403685092,0.37091675447839834,0.43739597178022177,2791,1194,1449,1342,704,490,10,704,0,490,0
