B_min,B_max,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,case,regime,source,target,true_lag,estimated_best_lag,correct_lag,ground_truth_alpha,estimated_alpha_true_lag,estimated_alpha_best_lag,correct_sign
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X1,X1,1,1,True,0.4000000059604645,0.35801962018013,0.35801962018013,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X1,X2,2,2,True,0.699999988079071,0.44256097078323364,0.44256097078323364,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X2,X3,1,1,True,0.6000000238418579,0.38956207036972046,0.38956207036972046,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X4,X4,1,1,True,0.5,0.4698560833930969,0.4698560833930969,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X1,X1,1,1,True,0.4000000059604645,0.35558539628982544,0.35558539628982544,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X4,X2,2,2,True,0.699999988079071,0.4648195803165436,0.4648195803165436,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X1,X3,3,3,True,-0.6000000238418579,-0.35738733410835266,-0.35738733410835266,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X4,X4,1,1,True,0.5,0.46197906136512756,0.46197906136512756,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X1,X1,1,1,True,0.4000000059604645,0.4188687801361084,0.4188687801361084,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X1,X2,1,4,False,0.699999988079071,0.33823075890541077,0.38165101408958435,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X2,X3,1,1,True,0.6000000238418579,0.5957719087600708,0.5957719087600708,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X4,X4,1,1,True,0.5,0.5003165006637573,0.5003165006637573,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X1,X1,1,1,True,0.4000000059604645,0.41879767179489136,0.41879767179489136,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X1,X2,4,4,True,0.699999988079071,0.381130576133728,0.381130576133728,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X2,X3,1,1,True,0.6000000238418579,0.5950020551681519,0.5950020551681519,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X4,X4,1,1,True,0.5,0.49990716576576233,0.49990716576576233,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X1,X1,1,1,True,0.4000000059604645,0.3818771243095398,0.3818771243095398,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X1,X2,2,2,True,0.699999988079071,0.6045888662338257,0.6045888662338257,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X2,X3,1,4,False,0.6000000238418579,-0.004955018870532513,0.011268663220107555,False
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X4,X4,1,1,True,0.5,0.4892578721046448,0.4892578721046448,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X1,X1,1,1,True,0.4000000059604645,0.38197141885757446,0.38197141885757446,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X1,X2,2,2,True,0.699999988079071,0.6045353412628174,0.6045353412628174,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X2,X3,1,4,False,-0.6000000238418579,-0.005033318884670734,0.01126918476074934,True
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X4,X4,1,1,True,0.5,0.48900341987609863,0.48900341987609863,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X1,X1,1,1,True,0.4000000059604645,0.3771560490131378,0.3771560490131378,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X1,X2,2,2,True,0.699999988079071,0.6845934391021729,0.6845934391021729,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X2,X3,1,1,True,0.6000000238418579,0.6358547806739807,0.6358547806739807,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X4,X4,1,1,True,0.5,0.4962095618247986,0.4962095618247986,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X1,X1,1,1,True,0.4000000059604645,0.3851214051246643,0.3851214051246643,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X4,X2,2,2,True,0.699999988079071,0.673957109451294,0.673957109451294,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X1,X3,3,3,True,-0.6000000238418579,-0.5746158957481384,-0.5746158957481384,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X4,X4,1,1,True,0.5,0.4921812117099762,0.4921812117099762,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X1,X1,1,1,True,0.4000000059604645,0.3739064335823059,0.3739064335823059,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X1,X2,1,1,True,0.699999988079071,0.6400040984153748,0.6400040984153748,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X2,X3,1,1,True,0.6000000238418579,0.597570538520813,0.597570538520813,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X4,X4,1,1,True,0.5,0.5039158463478088,0.5039158463478088,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X1,X1,1,1,True,0.4000000059604645,0.38532131910324097,0.38532131910324097,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X1,X2,4,4,True,0.699999988079071,0.6282651424407959,0.6282651424407959,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X2,X3,1,1,True,0.6000000238418579,0.5958901643753052,0.5958901643753052,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X4,X4,1,1,True,0.5,0.4959542155265808,0.4959542155265808,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X1,X1,1,1,True,0.4000000059604645,0.40243101119995117,0.40243101119995117,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X1,X2,2,2,True,0.699999988079071,0.7005126476287842,0.7005126476287842,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X2,X3,1,1,True,0.6000000238418579,0.01444188691675663,0.01444188691675663,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X4,X4,1,1,True,0.5,0.5206813812255859,0.5206813812255859,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X1,X1,1,1,True,0.4000000059604645,0.4021152853965759,0.4021152853965759,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X1,X2,2,2,True,0.699999988079071,0.6991630792617798,0.6991630792617798,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X2,X3,1,1,True,-0.6000000238418579,-0.01226914394646883,-0.01226914394646883,True
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X4,X4,1,1,True,0.5,0.5199398994445801,0.5199398994445801,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X1,X1,1,1,True,0.4000000059604645,0.4029149115085602,0.4029149115085602,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X1,X2,2,2,True,0.699999988079071,0.5187302827835083,0.5187302827835083,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X2,X3,1,1,True,0.6000000238418579,0.47469258308410645,0.47469258308410645,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X4,X4,1,1,True,0.5,0.47690391540527344,0.47690391540527344,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X1,X1,1,1,True,0.4000000059604645,0.4010477662086487,0.4010477662086487,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X4,X2,2,2,True,0.699999988079071,0.4946148991584778,0.4946148991584778,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X1,X3,3,3,True,-0.6000000238418579,-0.40214815735816956,-0.40214815735816956,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X4,X4,1,1,True,0.5,0.4875089228153229,0.4875089228153229,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X1,X1,1,1,True,0.4000000059604645,0.4103018641471863,0.4103018641471863,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X1,X2,1,4,False,0.699999988079071,0.31836938858032227,0.3639046549797058,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X2,X3,1,1,True,0.6000000238418579,0.6187739372253418,0.6187739372253418,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X4,X4,1,1,True,0.5,0.49976834654808044,0.49976834654808044,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X1,X1,1,1,True,0.4000000059604645,0.4106115698814392,0.4106115698814392,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X1,X2,4,4,True,0.699999988079071,0.363842248916626,0.363842248916626,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X2,X3,1,1,True,0.6000000238418579,0.6189886331558228,0.6189886331558228,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X4,X4,1,1,True,0.5,0.4999193549156189,0.4999193549156189,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X1,X1,1,1,True,0.4000000059604645,0.398635596036911,0.398635596036911,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X1,X2,2,2,True,0.699999988079071,0.6614906787872314,0.6614906787872314,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X2,X3,1,2,False,0.6000000238418579,-0.00014893291518092155,-0.01795138604938984,False
50,150,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X4,X4,1,1,True,0.5,0.5085800886154175,0.5085800886154175,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X1,X1,1,1,True,0.4000000059604645,0.3986915946006775,0.3986915946006775,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X1,X2,2,2,True,0.699999988079071,0.6610314249992371,0.6610314249992371,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X2,X3,1,2,False,-0.6000000238418579,-0.00015960438759066164,-0.01804215833544731,True
50,150,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X4,X4,1,1,True,0.5,0.5085391998291016,0.5085391998291016,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X1,X1,1,1,True,0.4000000059604645,0.42637771368026733,0.42637771368026733,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X1,X2,2,2,True,0.699999988079071,0.7016096711158752,0.7016096711158752,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X2,X3,1,1,True,0.6000000238418579,0.657627284526825,0.657627284526825,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,X4,X4,1,1,True,0.5,0.4839504361152649,0.4839504361152649,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X1,X1,1,1,True,0.4000000059604645,0.4105462431907654,0.4105462431907654,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X4,X2,2,2,True,0.699999988079071,0.7097150087356567,0.7097150087356567,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X1,X3,3,3,True,-0.6000000238418579,-0.6165509819984436,-0.6165509819984436,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,X4,X4,1,1,True,0.5,0.4815270006656647,0.4815270006656647,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X1,X1,1,1,True,0.4000000059604645,0.40875110030174255,0.40875110030174255,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X1,X2,1,1,True,0.699999988079071,0.6421335339546204,0.6421335339546204,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X2,X3,1,1,True,0.6000000238418579,0.5933313965797424,0.5933313965797424,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,X4,X4,1,1,True,0.5,0.47927236557006836,0.47927236557006836,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X1,X1,1,1,True,0.4000000059604645,0.3922007977962494,0.3922007977962494,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X1,X2,4,4,True,0.699999988079071,0.6850162744522095,0.6850162744522095,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X2,X3,1,1,True,0.6000000238418579,0.5869176387786865,0.5869176387786865,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,X4,X4,1,1,True,0.5,0.49349504709243774,0.49349504709243774,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X1,X1,1,1,True,0.4000000059604645,0.4005834460258484,0.4005834460258484,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X1,X2,2,2,True,0.699999988079071,0.7022577524185181,0.7022577524185181,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X2,X3,1,2,False,0.6000000238418579,0.0017143178265541792,-0.008908785879611969,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,X4,X4,1,1,True,0.5,0.48585906624794006,0.48585906624794006,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X1,X1,1,1,True,0.4000000059604645,0.40078768134117126,0.40078768134117126,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X1,X2,2,2,True,0.699999988079071,0.701465904712677,0.701465904712677,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X2,X3,1,1,True,-0.6000000238418579,-0.007764366455376148,-0.007764366455376148,True
50,150,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,X4,X4,1,1,True,0.5,0.4827302098274231,0.4827302098274231,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X1,X1,1,1,True,0.4000000059604645,0.4061218798160553,0.4061218798160553,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X1,X2,2,2,True,0.699999988079071,0.5373395085334778,0.5373395085334778,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X2,X3,1,1,True,0.6000000238418579,0.4515058994293213,0.4515058994293213,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,X4,X4,1,1,True,0.5,0.48941460251808167,0.48941460251808167,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X1,X1,1,1,True,0.4000000059604645,0.4121655523777008,0.4121655523777008,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X4,X2,2,2,True,0.699999988079071,0.5497280359268188,0.5497280359268188,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X1,X3,3,3,True,-0.6000000238418579,-0.4481588900089264,-0.4481588900089264,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,X4,X4,1,1,True,0.5,0.4970369338989258,0.4970369338989258,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X1,X1,1,1,True,0.4000000059604645,0.3972868323326111,0.3972868323326111,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X1,X2,1,4,False,0.699999988079071,0.378370076417923,0.3816482424736023,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X2,X3,1,1,True,0.6000000238418579,0.6636691689491272,0.6636691689491272,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,X4,X4,1,1,True,0.5,0.48386549949645996,0.48386549949645996,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X1,X1,1,1,True,0.4000000059604645,0.39735403656959534,0.39735403656959534,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X1,X2,4,4,True,0.699999988079071,0.3816506564617157,0.3816506564617157,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X2,X3,1,1,True,0.6000000238418579,0.6637677550315857,0.6637677550315857,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,X4,X4,1,1,True,0.5,0.4840051233768463,0.4840051233768463,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X1,X1,1,1,True,0.4000000059604645,0.42211031913757324,0.42211031913757324,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X1,X2,2,2,True,0.699999988079071,0.6749201416969299,0.6749201416969299,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X2,X3,1,5,False,0.6000000238418579,-0.005478455685079098,0.008817065507173538,False
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,X4,X4,1,1,True,0.5,0.4887884259223938,0.4887884259223938,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X1,X1,1,1,True,0.4000000059604645,0.4222070574760437,0.4222070574760437,True
100,300,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,X1,X2,2,2,True,0.699999988079071,0.675354540348053,0.675354540348053,True
