B_min,B_max,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,case,regime,alpha_correlation,lag_accuracy,sign_accuracy,true_positives,false_positives,missed_true_links,max_false_positive_strength,mean_false_positive_strength
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,0.9451193964986825,1.0,1.0,4,4,0,0.18830342590808868,0.09475529938936234
25,75,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,0.9382889699390008,1.0,1.0,4,3,0,0.18823884427547455,0.1279006004333496
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,0.8745763230906548,0.75,1.0,4,1,0,0.38165101408958435,0.38165101408958435
25,75,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,0.9025309583439737,1.0,1.0,4,1,0,0.33759474754333496,0.33759474754333496
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,0,0.8318109713019165,0.75,0.75,3,0,1,0.0,0.0
25,75,low_snr,0.05,0.1,0.15,0.2,mse,sign_change,1,0.8446332029839303,0.75,1.0,3,0,1,0.0,0.0
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,0,0.9783069846179501,1.0,1.0,4,6,0,0.12101320922374725,0.08373034745454788
25,75,high_snr,1.0,0.05,0.05,1.0,mse,source_change,1,0.9450319604622464,1.0,1.0,4,8,0,0.2756957411766052,0.1066562682390213
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,0,0.98104075283279,1.0,1.0,4,3,0,0.1301194280385971,0.08651724457740784
25,75,high_snr,1.0,0.05,0.05,1.0,mse,lag_change,1,0.9774886809843846,1.0,1.0,4,3,0,0.15684610605239868,0.11387830227613449
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,0,0.7235839493442127,1.0,1.0,3,3,1,0.5488920211791992,0.2198413759469986
25,75,high_snr,1.0,0.05,0.05,1.0,mse,sign_change,1,0.7294852787463861,1.0,1.0,3,3,1,0.564773440361023,0.22386343777179718
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,0,0.959900005993594,1.0,1.0,4,4,0,0.15826904773712158,0.09916999191045761
50,150,low_snr,0.05,0.1,0.15,0.2,mse,source_change,1,0.92761581258118,1.0,1.0,4,4,0,0.19273145496845245,0.14467720687389374
50,150,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,0,0.8696310336544457,0.75,1.0,4,4,0,0.3639046549797058,0.13427220284938812
50,150,low_snr,0.05,0.1,0.15,0.2,mse,lag_change,1,0.8987832724996668,1.0,1.0,4,4,0,0.3184916079044342,0.1228848397731781
