case_type,case_id,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,param_a0,param_a1,param_P,param_phi,case,mean_MSE,std_MSE,mean_RMSE,std_RMSE,mean_MAE,std_MAE,alpha_correlation_global_mean,main_link_tracking_corr,main_link_RMSE,main_link_calibrated_RMSE,lag_accuracy,sign_accuracy,true_positives,false_positives,missed_true_links,max_false_positive_strength,mean_false_positive_strength,mean_M_FP_t,max_M_FP_t,mean_alpha_std_all,mean_alpha_std_true_links,max_alpha_std_true_links,mean_main_link_std_t,max_main_link_std_t,global_VAR_MSE,global_VAR_MAE,global_VAR_coef,sliding_VAR_W_20_MSE,sliding_VAR_W_20_MAE,sliding_VAR_W_20_coef_corr,sliding_VAR_W_20_coef_rmse,sliding_VAR_W_100_MSE,sliding_VAR_W_100_MAE,sliding_VAR_W_100_coef_corr,sliding_VAR_W_100_coef_rmse,param_a_min,param_a_max,param_t0_frac,param_s_frac
sinusoidal,baseline_a1_0p25_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,500.0,0.0,baseline_a1_0p25_P_500_phi_0p00,0.018901367323923023,7.5672442795052615e-06,0.1374822411880136,2.7524612588126834e-05,0.10049627486676985,2.9790658156547912e-05,0.9961364855787984,-0.02305396201444255,0.17991091445092552,0.17684006251334508,1.0,1.0,6,1,0,0.04232696816325188,0.04232696816325188,0.37576916813850403,0.39699944853782654,0.004033153411000967,0.017988884821534157,0.02970573492348194,0.024962451308965683,0.03759385272860527,0.018875950397439785,0.10043134385399027,0.4692244618904186,0.10428783963487807,0.22564441864005813,0.18564764286372365,0.5835118880332625,0.02408873349525828,0.11333296526255986,0.43291505322239265,0.3041958315946755,,,,
sinusoidal,baseline_a1_0p25_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,500.0,0.0,baseline_a1_0p25_P_500_phi_0p00,0.25795445011763163,0.0006141481129778993,0.5078918398736902,0.0006047105363111747,0.24947030429920652,0.0014457641875945614,0.9461970413329048,0.9248438792756576,0.06952006543311288,0.06727845833299591,1.0,1.0,6,4,0,0.18029853701591492,0.11455927789211273,0.9591294527053833,1.2470670938491821,0.010806867852807045,0.02624802477657795,0.047569818794727325,0.030032990500330925,0.1183166578412056,0.26385288894776154,0.26470051495306335,0.4990176135082316,1.6848331848007982,0.5839801572427498,0.9752179764546256,0.04009803673477974,0.34657665446441843,0.29058927475294294,0.8197129831025644,0.10398921195390835,,,,
sinusoidal,low_amplitude_a1_0p10_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.1,500.0,0.0,low_amplitude_a1_0p10_P_500_phi_0p00,0.018872666576776994,8.582798335658606e-06,0.1373778209841164,3.124158657928495e-05,0.10037719330068524,3.745441942302069e-05,0.9959891107282351,-0.0237747017460429,0.07912243461139427,0.07073483057597532,1.0,1.0,6,1,0,0.04365129396319389,0.04365129396319389,0.38124364614486694,0.4032366871833801,0.003921298310160637,0.0169710461050272,0.02919820323586464,0.020354341715574265,0.031365204602479935,0.018846798989690536,0.10030862557719533,0.46963468381036005,0.10388331786206458,0.22544445305256217,0.10874359820368687,0.5770682969413017,0.024082568585480496,0.11331663464052188,0.2147118771763938,0.2831265531218804,,,,
sinusoidal,low_amplitude_a1_0p10_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.1,500.0,0.0,low_amplitude_a1_0p10_P_500_phi_0p00,0.2575177722445716,0.00026220975262597804,0.5074620302697022,0.0002583690803173838,0.24900144997615842,0.0003255377174772313,0.9583388674882799,0.16361632506005777,0.0701238535413033,0.06980134121176351,1.0,1.0,6,5,0,0.17159056663513184,0.0953233391046524,0.8635621070861816,1.0754739046096802,0.01003502868115902,0.023580439388751984,0.043911442160606384,0.010729055851697922,0.026362264528870583,0.25712759008319297,0.24754410492021542,0.4989853994094001,1.685758352558689,0.5850562589822961,0.8956780242252188,0.035563791951443005,0.3348658772782917,0.2773459115888747,0.8120466262513332,0.04264910276446236,,,,
sinusoidal,high_amplitude_a1_0p40_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.4,500.0,0.0,high_amplitude_a1_0p40_P_500_phi_0p00,0.018950880181944192,7.419730645799139e-06,0.1376621935323616,2.6952691481848687e-05,0.10070384084712132,2.5117900520191212e-05,0.9955221874343416,-0.022969860735631654,0.28542564532271086,0.28294464755926096,1.0,1.0,6,1,0,0.04780329391360283,0.04780329391360283,0.38256439566612244,0.40261590480804443,0.003546748775988817,0.018338019028306007,0.03268073871731758,0.030205577611923218,0.04398009181022644,0.01892370945002507,0.10063383967088821,0.46872505275570536,0.10499388814226437,0.22618651237283946,0.257244323129562,0.5974728414683467,0.024104138527131447,0.11337272513380195,0.5679087835352497,0.33540186826201374,,,,
sinusoidal,high_amplitude_a1_0p40_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.4,500.0,0.0,high_amplitude_a1_0p40_P_500_phi_0p00,0.2586303902321375,0.0006227266625843002,0.5085568331949379,0.0006125020395701287,0.25057764253120995,0.0010730828921231314,0.9416779089017889,0.9648471633949526,0.07827731281605396,0.07438076840801301,1.0,1.0,6,6,0,0.17894023656845093,0.09409106522798538,1.0573137998580933,1.3500466346740723,0.0117249246686697,0.025520406663417816,0.04564359784126282,0.03864225372672081,0.1530662328004837,0.2762252899273065,0.2830845024202987,0.4990799928064507,1.7015159905674655,0.5850252131102127,0.9863586263253997,0.04699869011130957,0.35812443081304973,0.3037444495611316,0.8212675228658312,0.16559238658953576,,,,
sinusoidal,fast_period_a1_0p25_P_100_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,100.0,0.0,fast_period_a1_0p25_P_100_phi_0p00,0.01891120712952374,9.187351631894296e-06,0.137518021091797,3.3408578674839515e-05,0.10056592293521938,2.9091831152752797e-05,0.9953825067654927,-0.0047084417494752595,0.18133085760206277,0.17688016260380007,1.0,1.0,6,1,0,0.04546232894062996,0.04546232894062996,0.39046990871429443,0.42047250270843506,0.0036301363725215197,0.015612597577273846,0.024460094049572945,0.015648746863007545,0.024919211864471436,0.018880072759713668,0.10049119643867307,0.46993263306908994,0.10402069360651808,0.2256557526530371,0.06589983124810553,0.6023557101244701,0.024136557169380395,0.11349536741225272,-0.05586439824716945,0.3419148902590788,,,,
sinusoidal,fast_period_a1_0p25_P_100_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,100.0,0.0,fast_period_a1_0p25_P_100_phi_0p00,0.2579375112355128,0.00030569372770106895,0.5078754076541527,0.0003009902933851248,0.24830226753396595,0.0007795040505865072,0.9563709888631625,0.924591313710721,0.06914495986505081,0.067385102555711,1.0,1.0,6,5,0,0.16862329840660095,0.0934998020529747,0.926539421081543,1.2488231658935547,0.010310275480151176,0.03259953483939171,0.061841417104005814,0.033283781260252,0.10949122160673141,0.26406958559095095,0.2649308799634393,0.4993912376897721,1.8522449625068,0.6185700208500037,0.8368402521188238,0.10095136408686008,0.34663459834157556,0.3052290323450038,-0.3299482336011907,0.18993549279380229,,,,
sinusoidal,slow_period_a1_0p25_P_2000_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,2000.0,0.0,slow_period_a1_0p25_P_2000_phi_0p00,0.018900646985565615,7.901847414176483e-06,0.13747962118843252,2.8741196040119134e-05,0.10048706273001633,4.4637736655839376e-05,0.9961013633801524,0.05719157249102142,0.179964570395682,0.17659774641445183,1.0,1.0,6,1,0,0.04235626012086868,0.04235626012086868,0.37771090865135193,0.40152907371520996,0.003977746237069368,0.018880201503634453,0.0333121083676815,0.028648963198065758,0.041801534593105316,0.01887603078647281,0.10041473705221626,0.47297238570695865,0.1035080961065725,0.22540004302391037,0.09661767590327368,0.5943865339753569,0.024106714187295285,0.11338255264216793,0.510715854600045,0.28249972961296244,,,,
sinusoidal,slow_period_a1_0p25_P_2000_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,2000.0,0.0,slow_period_a1_0p25_P_2000_phi_0p00,0.25766564455139773,0.0002953792306918261,0.5076076913717921,0.0002909975127734375,0.24781855496357622,0.0009450573241094343,0.9490281126715486,0.9305838068747526,0.06537603057173609,0.06475470183245995,1.0,1.0,6,5,0,0.2038700133562088,0.10361679643392563,0.9324961304664612,1.2970837354660034,0.010192850604653358,0.023617809638381004,0.04940127581357956,0.028641873970627785,0.08877935260534286,0.2638385175236285,0.264932188611829,0.5022030523526708,1.6878913084196725,0.585546878863939,0.9806590293463716,0.03517548506886293,0.33310322739933124,0.27534548304612605,0.9866481024749031,0.028898440841074045,,,,
