case_type,case_id,sigma_set,sigma_X1,sigma_X2,sigma_X3,sigma_X4,loss,param_a0,param_a1,param_P,param_phi,case,alpha_correlation_global_mean,main_link_tracking_corr,main_link_RMSE,main_link_calibrated_RMSE,lag_accuracy,sign_accuracy,true_positives,false_positives,missed_true_links,max_false_positive_strength,mean_false_positive_strength,mean_M_FP_t,max_M_FP_t,mean_alpha_std_all,mean_alpha_std_true_links,max_alpha_std_true_links,mean_main_link_std_t,max_main_link_std_t,param_a_min,param_a_max,param_t0_frac,param_s_frac
sinusoidal,baseline_a1_0p25_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,500.0,0.0,baseline_a1_0p25_P_500_phi_0p00,0.9961364855787984,-0.02305396201444255,0.17991091445092552,0.17684006251334508,1.0,1.0,6,1,0,0.04232696816325188,0.04232696816325188,0.37576916813850403,0.39699944853782654,0.004033153411000967,0.017988884821534157,0.02970573492348194,0.024962451308965683,0.03759385272860527,,,,
sinusoidal,baseline_a1_0p25_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,500.0,0.0,baseline_a1_0p25_P_500_phi_0p00,0.9461970413329048,0.9248438792756576,0.06952006543311288,0.06727845833299591,1.0,1.0,6,4,0,0.18029853701591492,0.11455927789211273,0.9591294527053833,1.2470670938491821,0.010806867852807045,0.02624802477657795,0.047569818794727325,0.030032990500330925,0.1183166578412056,,,,
sinusoidal,low_amplitude_a1_0p10_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.1,500.0,0.0,low_amplitude_a1_0p10_P_500_phi_0p00,0.9959891107282351,-0.0237747017460429,0.07912243461139427,0.07073483057597532,1.0,1.0,6,1,0,0.04365129396319389,0.04365129396319389,0.38124364614486694,0.4032366871833801,0.003921298310160637,0.0169710461050272,0.02919820323586464,0.020354341715574265,0.031365204602479935,,,,
sinusoidal,low_amplitude_a1_0p10_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.1,500.0,0.0,low_amplitude_a1_0p10_P_500_phi_0p00,0.9583388674882799,0.16361632506005777,0.0701238535413033,0.06980134121176351,1.0,1.0,6,5,0,0.17159056663513184,0.0953233391046524,0.8635621070861816,1.0754739046096802,0.01003502868115902,0.023580439388751984,0.043911442160606384,0.010729055851697922,0.026362264528870583,,,,
sinusoidal,high_amplitude_a1_0p40_P_500_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.4,500.0,0.0,high_amplitude_a1_0p40_P_500_phi_0p00,0.9955221874343416,-0.022969860735631654,0.28542564532271086,0.28294464755926096,1.0,1.0,6,1,0,0.04780329391360283,0.04780329391360283,0.38256439566612244,0.40261590480804443,0.003546748775988817,0.018338019028306007,0.03268073871731758,0.030205577611923218,0.04398009181022644,,,,
sinusoidal,high_amplitude_a1_0p40_P_500_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.4,500.0,0.0,high_amplitude_a1_0p40_P_500_phi_0p00,0.9416779089017889,0.9648471633949526,0.07827731281605396,0.07438076840801301,1.0,1.0,6,6,0,0.17894023656845093,0.09409106522798538,1.0573137998580933,1.3500466346740723,0.0117249246686697,0.025520406663417816,0.04564359784126282,0.03864225372672081,0.1530662328004837,,,,
sinusoidal,fast_period_a1_0p25_P_100_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,100.0,0.0,fast_period_a1_0p25_P_100_phi_0p00,0.9953825067654927,-0.0047084417494752595,0.18133085760206277,0.17688016260380007,1.0,1.0,6,1,0,0.04546232894062996,0.04546232894062996,0.39046990871429443,0.42047250270843506,0.0036301363725215197,0.015612597577273846,0.024460094049572945,0.015648746863007545,0.024919211864471436,,,,
sinusoidal,fast_period_a1_0p25_P_100_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,100.0,0.0,fast_period_a1_0p25_P_100_phi_0p00,0.9563709888631625,0.924591313710721,0.06914495986505081,0.067385102555711,1.0,1.0,6,5,0,0.16862329840660095,0.0934998020529747,0.926539421081543,1.2488231658935547,0.010310275480151176,0.03259953483939171,0.061841417104005814,0.033283781260252,0.10949122160673141,,,,
sinusoidal,slow_period_a1_0p25_P_2000_phi_0p00,low_snr,0.05,0.1,0.15,0.2,mse,0.5,0.25,2000.0,0.0,slow_period_a1_0p25_P_2000_phi_0p00,0.9961013633801524,0.05719157249102142,0.179964570395682,0.17659774641445183,1.0,1.0,6,1,0,0.04235626012086868,0.04235626012086868,0.37771090865135193,0.40152907371520996,0.003977746237069368,0.018880201503634453,0.0333121083676815,0.028648963198065758,0.041801534593105316,,,,
sinusoidal,slow_period_a1_0p25_P_2000_phi_0p00,high_snr,1.0,0.05,0.05,0.1,mse,0.5,0.25,2000.0,0.0,slow_period_a1_0p25_P_2000_phi_0p00,0.9490281126715486,0.9305838068747526,0.06537603057173609,0.06475470183245995,1.0,1.0,6,5,0,0.2038700133562088,0.10361679643392563,0.9324961304664612,1.2970837354660034,0.010192850604653358,0.023617809638381004,0.04940127581357956,0.028641873970627785,0.08877935260534286,,,,
